"faa","name","lat","lon","alt","tz","dst","city","country"
YHD,Dryden Regional Airport,49.831699,-92.744202,1354,-6.0,A,Dryden,Canada
YHI,Ulukhaktok Holman Airport,70.76280212402344,-117.80599975585938,117,-7.0,A,Holman Island,Canada
YHK,Gjoa Haven Airport,68.635597229,-95.8497009277,152,-7.0,A,Gjoa Haven,Canada
YHM,John C. Munro Hamilton International Airport,43.1735992432,-79.93499755859999,780,-5.0,A,Hamilton,Canada
YHU,Montréal / Saint-Hubert Airport,45.5175018311,-73.4169006348,90,-5.0,A,Montreal,Canada
YHY,Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131,541,-7.0,A,Hay River,Canada
YHZ,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,477,-4.0,A,Halifax,Canada
YIB,Atikokan Municipal Airport,48.7738990784,-91.6386032104,1408,-5.0,A,Atikokan,Canada
YIO,Pond Inlet Airport,72.6832962036,-77.9666976929,181,-5.0,A,Pond Inlet,Canada
YJN,St Jean Airport,45.29439926147461,-73.28109741210938,136,-5.0,A,St. Jean,Canada
YJT,Stephenville Airport,48.5442008972168,-58.54999923706055,84,-3.5,A,Stephenville,Canada
YKA,Kamloops Airport,50.7022018433,-120.444000244,1133,-8.0,A,Kamloops,Canada
YKF,Waterloo Airport,43.4608001709,-80.3786010742,1055,-5.0,A,Waterloo,Canada
YKL,Schefferville Airport,54.805301666259766,-66.8052978515625,1709,-5.0,A,Schefferville,Canada
YKY,Kindersley Airport,51.5175018311,-109.180999756,2277,-6.0,N,Kindersley,Canada
YKZ,Buttonville Municipal Airport,43.86220169067383,-79.37000274658203,650,-5.0,A,Toronto,Canada
YLD,Chapleau Airport,47.81999969482422,-83.3467025756836,1470,-5.0,A,Chapleau,Canada
YLJ,Meadow Lake Airport,54.125301361083984,-108.52300262451172,1576,-6.0,N,Meadow Lake,Canada
YLL,Lloydminster Airport,53.309200286865234,-110.072998046875,2193,-7.0,A,Lloydminster,Canada
YLT,Alert Airport,82.51779937740001,-62.2806015015,100,-5.0,A,Alert,Canada
YLW,Kelowna International Airport,49.9561004639,-119.377998352,1421,-8.0,A,Kelowna,Canada
YMA,Mayo Airport,63.61640167236328,-135.8679962158203,1653,-8.0,A,Mayo,Canada
YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330299377441406,-105.55899810791016,1892,-6.0,N,Moose Jaw,Canada
YMM,Fort McMurray Airport,56.653301239,-111.222000122,1211,-7.0,A,Fort Mcmurray,Canada
YMO,Moosonee Airport,51.29109954833984,-80.60780334472656,30,-5.0,A,Moosonee,Canada
YMW,Maniwaki Airport,46.2728004456,-75.9906005859,656,-5.0,A,Maniwaki,Canada
YMX,Montreal International (Mirabel) Airport,45.679501,-74.038696,270,-5.0,A,Montreal,Canada
YNA,Natashquan Airport,50.18999862670898,-61.78919982910156,39,-5.0,A,Natashquan,Canada
YND,Ottawa / Gatineau Airport,45.5217018127,-75.5635986328,211,-5.0,A,Gatineau,Canada
YNM,Matagami Airport,49.76169967651367,-77.80280303955078,918,-5.0,A,Matagami,Canada
YOC,Old Crow Airport,67.57060241699219,-139.83900451660156,824,-8.0,A,Old Crow,Canada
YOD,CFB Cold Lake,54.40499877929688,-110.27899932861328,1775,-7.0,A,Cold Lake,Canada
YOJ,High Level Airport,58.62139892578125,-117.16500091552734,1110,-7.0,A,High Level,Canada
YOW,Ottawa Macdonald-Cartier International Airport,45.3224983215332,-75.66919708251953,374,-5.0,A,Ottawa,Canada
YPA,Prince Albert Glass Field,53.2141990662,-105.672996521,1405,-6.0,N,Prince Albert,Canada
YPE,Peace River Airport,56.226898,-117.446999,1873,-7.0,A,Peace River,Canada
