"faa","name","lat","lon","alt","tz","dst","city","country"
RYN,Royan-Médis Airport,45.62810134887695,-0.9725000262260436,72,1.0,E,Royan,France
XMW,Montauban Airport,44.02569961547852,1.3780399560928345,351,1.0,E,Montauban,France
RCO,Rochefort-Saint-Agnant (BA 721) Airport,45.88779830932617,-0.9830560088157654,60,1.0,E,Rochefort,France
CMR,Colmar-Houssen Airport,48.109901428222656,7.359010219573975,628,1.0,E,Colmar,France
DLE,Dole-Tavaux Airport,47.042686,5.435063,645,1.0,E,Dole,France
OBS,Aubenas-Ardèche Méridional Airport,44.544203,4.372192,923,1.0,E,Aubenas-vals-lanas,France
LPY,Le Puy-Loudes Airport,45.0806999206543,3.762890100479126,2731,1.0,E,Le Puy,France
ETZ,Metz-Nancy-Lorraine Airport,48.9821014404,6.25131988525,870,1.0,E,Metz,France
BIA,Bastia-Poretta Airport,42.55270004272461,9.48373031616211,26,1.0,E,Bastia,France
CLY,Calvi-Sainte-Catherine Airport,42.5244444,8.7930556,209,1.0,E,Calvi,France
FSC,Figari Sud-Corse Airport,41.5005989074707,9.097780227661133,87,1.0,E,Figari,France
AJA,Ajaccio-Napoléon Bonaparte Airport,41.92359924316406,8.8029203414917,18,1.0,E,Ajaccio,France
PRP,Propriano Airport,41.66059875488281,8.889749526977539,13,1.0,E,Propriano,France
SOZ,Solenzara (BA 126) Air Base,41.92440032958984,9.406000137329102,28,1.0,E,Solenzara,France
AUF,Auxerre-Branches Airport,47.85020065307617,3.497109889984131,523,1.0,E,Auxerre,France
CMF,Chambéry-Savoie Airport,45.63809967041016,5.880229949951172,779,1.0,E,Chambery,France
CFE,Clermont-Ferrand Auvergne Airport,45.7867012024,3.1691699028,1090,1.0,E,Clermont-Ferrand,France
BOU,Bourges Airport,47.058101654052734,2.3702800273895264,529,1.0,E,Bourges,France
QNJ,Annemasse Airport,46.1920013428,6.268390178680001,1620,1.0,E,Annemasse,France
LYS,Lyon Saint-Exupéry Airport,45.725556,5.081111,821,1.0,E,Lyon,France
SYT,Saint-Yan Airport,46.41249847412109,4.0132598876953125,796,1.0,E,St.-yan,France
RNE,Roanne-Renaison Airport,46.05830001831055,4.001389980316162,1106,1.0,E,Roanne,France
NCY,Annecy-Haute-Savoie-Mont Blanc Airport,45.9308333,6.1063889,1521,1.0,E,Annecy,France
GNB,Grenoble-Isère Airport,45.36289978027344,5.329370021820068,1302,1.0,E,Grenoble,France
VAF,Valence-Chabeuil Airport,44.9216,4.9699,525,1.0,E,Valence,France
VHY,Vichy-Charmeil Airport,46.169700622558594,3.4037399291992188,817,1.0,E,Vichy,France
AUR,Aurillac Airport,44.89139938354492,2.4219400882720947,2096,1.0,E,Aurillac,France
CHR,"Châteauroux-Déols ""Marcel Dassault"" Airport",46.860278,1.721111,529,1.0,E,Chateauroux,France
LYN,Lyon-Bron Airport,45.72719955444336,4.944270133972168,659,1.0,E,Lyon,France
CEQ,Cannes-Mandelieu Airport,43.542,6.95348,13,1.0,E,Cannes,France
EBU,Saint-Étienne-Bouthéon Airport,45.54059982299805,4.296390056610107,1325,1.0,E,St-Etienne,France
CCF,Carcassonne Airport,43.21599960327149,2.3063199520111084,433,1.0,E,Carcassonne,France
MRS,Marseille Provence Airport,43.439271922,5.22142410278,74,1.0,E,Marseille,France
NCE,Nice-Côte d'Azur Airport,43.6584014893,7.215869903560001,12,1.0,E,Nice,France
XOG,Orange-Caritat (BA 115) Air Base,44.14049911499024,4.866720199584961,197,1.0,E,Orange,France
PGF,Perpignan-Rivesaltes (Llabanère) Airport,42.74039840698242,2.8706700801849365,144,1.0,E,Perpignan,France
CTT,Le Castellet Airport,43.25249862670898,5.785190105438232,1391,1.0,E,Le Castellet,France
MPL,Montpellier-Méditerranée Airport,43.57619857788086,3.96301007270813,17,1.0,E,Montpellier,France
BZR,Béziers-Vias Airport,43.32350158691406,3.353899955749512,56,1.0,E,Beziers,France
AVN,Avignon-Caumont Airport,43.90729904174805,4.901830196380615,124,1.0,E,Avignon,France
MEN,Mende-Brenoux Airfield,44.502102,3.53282,3362,1.0,E,Mende,France
BVA,Paris Beauvais Tillé Airport,49.45439910888672,2.1127800941467285,359,1.0,E,Beauvais,France
EVX,Évreux-Fauville (BA 105) Air Base,49.02870178222656,1.219859957695007,464,1.0,E,Evreux,France
LEH,Le Havre Octeville Airport,49.53390121459961,0.0880559980869293,313,1.0,E,Le Havre,France
XAB,Abbeville,50.143501,1.831891,220,1.0,E,Abbeville,France
ORE,Orléans-Bricy (BA 123) Air Base,47.9878005981,1.7605600357100002,412,1.0,E,Orleans,France
XCR,Châlons-Vatry Airport,48.7733333333,4.206111111,587,1.0,E,Chalons,France
URO,Rouen Airport,49.38420104980469,1.1748000383377075,512,1.0,E,Rouen,France
TUF,Tours-Val-de-Loire Airport,47.4322013855,0.727605998516,357,1.0,E,Tours,France
CET,Cholet Le Pontreau Airport,47.08209991455078,-0.8770639896392822,443,1.0,E,Cholet,France
LVA,Laval-Entrammes Airport,48.03139877319336,-0.7429860234260559,330,1.0,E,Laval,France
LBG,Paris-Le Bourget Airport,48.96939849853516,2.441390037536621,218,1.0,E,Paris,France
CSF,Creil Air Base,49.25350189208984,2.5191400051116943,291,1.0,E,Creil,France
CDG,Charles de Gaulle International Airport,49.012798,2.55,392,1.0,E,Paris,France
TNF,Toussus-le-Noble Airport,48.75189971923828,2.1061899662017822,538,1.0,E,Toussous-le-noble,France
ORY,Paris-Orly Airport,48.7233333,2.3794444,291,1.0,E,Paris,France
POX,Pontoise - Cormeilles-en-Vexin Airport,49.096667,2.040833,325,1.0,E,Pontoise,France
VIY,Villacoublay-Vélizy (BA 107) Air Base,48.7741667,2.1916667,584,1.0,E,Villacoublay,France
NVS,Nevers-Fourchambault Airport,47.00260162353516,3.1133298873901367,602,1.0,E,Nevers,France
XME,Maubeuge-Élesmes Airport,50.31050109863281,4.033120155334473,452,1.0,E,Maubeuge,France
LIL,Lille-Lesquin Airport,50.563332,3.086886,157,1.0,E,Lille,France
HZB,Merville-Calonne Airport,50.61840057373047,2.642240047454834,61,1.0,E,Merville,France
XCZ,Charleville-Mézières Airport,49.78390121459961,4.647079944610596,492,1.0,E,Charleville,France
BES,Brest Bretagne Airport,48.447898864746094,-4.418540000915527,325,1.0,E,Brest,France
CER,Cherbourg-Maupertus Airport,49.65010070800781,-1.4702800512313845,459,1.0,E,Cherbourg,France
DNR,Dinard-Pleurtuit-Saint-Malo Airport,48.58769989013672,-2.0799601078033447,219,1.0,E,Dinard,France
LBY,La Baule-Escoublac Airport,47.289398193359375,-2.346390008926392,105,1.0,E,La Baule,France
GFR,Granville Airport,48.88309860229492,-1.564170002937317,45,1.0,E,Granville,France
DOL,Deauville-Saint-Gatien Airport,49.3652992249,0.154305994511,479,1.0,E,Deauville,France
LRT,Lorient South Brittany (Bretagne Sud) Airport,47.76060104370117,-3.440000057220459,160,1.0,E,Lorient,France
TFF,Tefé Airport,-3.38294005394,-64.7240982056,188,-4.0,S,Tefe,Brazil
EDM,La Roche-sur-Yon Airport,46.70190048217773,-1.3786300420761108,299,1.0,E,La Roche-sur-yon,France
LDV,Landivisiau Air Base,48.53030014038086,-4.151639938354492,348,1.0,E,Landivisiau,France
CFR,Caen-Carpiquet Airport,49.173301696777344,-0.449999988079071,256,1.0,E,Caen,France
LME,Le Mans-Arnage Airport,47.94860076904297,0.2016669958829879,194,1.0,E,Le Mans,France
RNS,Rennes-Saint-Jacques Airport,48.0694999695,-1.73478996754,124,1.0,E,Rennes,France
LAI,Lannion-Côte de Granit Airport,48.754398,-3.47166,290,1.0,E,Lannion,France
UIP,Quimper-Cornouaille Airport,47.97499847412109,-4.167789936065674,297,1.0,E,Quimper,France
NTE,Nantes Atlantique Airport,47.153198242200006,-1.61073005199,90,1.0,E,Nantes,France
SBK,Saint-Brieuc-Armor Airport,48.5378,-2.85444,453,1.0,E,St.-brieuc Armor,France
MXN,Morlaix-Ploujean Airport,48.6031990051,-3.81577992439,272,1.0,E,Morlaix,France
VNE,Vannes-Meucon Airport,47.72330093383789,-2.718559980392456,446,1.0,E,Vannes,France
SNR,Saint-Nazaire-Montoir Airport,47.3105556,-2.1566667,13,1.0,E,St.-nazaire,France
BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,47.59,7.5291667,885,1.0,E,Mulhouse,France
DIJ,Dijon-Bourgogne Airport,47.268902,5.09,726,1.0,E,Dijon,France
MZM,Metz-Frescaty (BA 128) Air Base,49.07170104980469,6.131669998168945,629,1.0,E,Metz,France
EPL,Épinal-Mirecourt Airport,48.325001,6.06998,1084,1.0,E,Epinal,France
ENC,Nancy-Essey Airport,48.69210052490234,6.230460166931152,751,1.0,E,Nancy,France
RHE,Reims-Champagne (BA 112) Air Base,49.310001,4.05,312,1.0,E,Reims,France
SXB,Strasbourg Airport,48.53829956054688,7.628230094909668,505,1.0,E,Strasbourg,France
TLN,Toulon-Hyères Airport,43.0973014832,6.14602994919,7,1.0,E,Hyeres,France
FNI,Nîmes-Arles-Camargue Airport,43.75740051269531,4.4163498878479,309,1.0,E,Nimes,France
MQC,Miquelon Airport,47.095500946,-56.3802986145,10,-3.0,U,Miquelon,Saint Pierre and Miquelon
FSP,St Pierre Airport,46.76290130615234,-56.173099517822266,27,-3.0,U,St.-pierre,Saint Pierre and Miquelon
PYR,Andravida Air Base,37.9207,21.292601,55,2.0,E,Andravida,Greece
AGQ,Agrinion Air Base,38.602001,21.3512001,154,2.0,E,Agrinion,Greece
AXD,Dimokritos Airport,40.855899810791016,25.95630073547364,24,2.0,E,Alexandroupolis,Greece
VOL,Nea Anchialos Airport,39.21960067749024,22.794300079345703,83,2.0,E,Nea Anghialos,Greece
JKH,Chios Island National Airport,38.34320068359375,26.140600204467773,15,2.0,E,Chios,Greece
IOA,Ioannina Airport,39.6963996887207,20.82250022888184,1558,2.0,E,Ioannina,Greece
HER,Heraklion International Nikos Kazantzakis Airport,35.3396987915,25.1802997589,115,2.0,E,Heraklion,Greece
KSO,Kastoria National Airport,40.4463005066,21.2821998596,2167,2.0,E,Kastoria,Greece
KIT,Kithira Airport,36.2742996216,23.0170001984,1045,2.0,E,Kithira,Greece
EFL,Kefallinia Airport,38.12009811401367,20.5004997253418,59,2.0,E,Keffallinia,Greece
KLX,Kalamata Airport,37.06829833984375,22.02549934387207,26,2.0,E,Kalamata,Greece
KGS,Kos Airport,36.79330062866211,27.091699600219727,412,2.0,E,Kos,Greece
AOK,Karpathos Airport,35.4213981628418,27.145999908447266,66,2.0,E,Karpathos,Greece
CFU,Ioannis Kapodistrias International Airport,39.601898193359375,19.911699295043945,6,2.0,E,Kerkyra/corfu,Greece
KSJ,Kasos Airport,35.4213981628,26.9099998474,35,2.0,E,Kasos,Greece
KVA,Alexander the Great International Airport,40.91329956054688,24.619199752807617,18,2.0,E,Kavala,Greece
KZI,Filippos Airport,40.28609848022461,21.84079933166504,2059,2.0,E,Kozani,Greece
LRS,Leros Airport,37.184898,26.800301,39,2.0,E,Leros,Greece
LXS,Limnos Airport,39.917098999,25.236299514799995,14,2.0,E,Limnos,Greece
LRA,Larisa Airport,39.650253,22.4655,241,2.0,E,Larissa,Greece
JMK,Mikonos Airport,37.43510055541992,25.348100662231445,405,2.0,E,Mykonos,Greece
MJT,Mytilene International Airport,39.0567016602,26.5983009338,60,2.0,E,Mytilini,Greece
PVK,Aktion National Airport,38.92549896240234,20.765300750732425,11,2.0,E,Preveza,Greece
RHO,Diagoras Airport,36.405399322509766,28.086200714111328,17,2.0,E,Rhodos,Greece
GPA,Araxos Airport,38.1511,21.4256,46,2.0,E,Patras,Greece
CHQ,Chania International Airport,35.531700134277344,24.14970016479492,490,2.0,E,Chania,Greece
JSI,Skiathos Island National Airport,39.17710113525391,23.503700256347656,54,2.0,E,Skiathos,Greece
SMI,Samos Airport,37.68999862670898,26.911699295043945,19,2.0,E,Samos,Greece
SPJ,Sparti Airport,36.973899841308594,22.52630043029785,500,2.0,E,Sparti,Greece
JTR,Santorini Airport,36.399200439453125,25.47929954528809,127,2.0,E,Thira,Greece
JSH,Sitia Airport,35.21609878540039,26.101299285888672,376,2.0,E,Sitia,Greece
SKU,Skiros Airport,38.9676017761,24.4871997833,44,2.0,E,Skiros,Greece
SKG,Thessaloniki Macedonia International Airport,40.51969909667969,22.97089958190918,22,2.0,E,Thessaloniki,Greece
ZTH,"Zakynthos International Airport ""Dionysios Solomos""",37.7509,20.8843,15,2.0,E,Zakynthos,Greece
BUD,Budapest Liszt Ferenc International Airport,47.42976,19.261093,495,1.0,E,Budapest,Hungary
DEB,Debrecen International Airport,47.48889923095703,21.61529922485352,359,1.0,E,Debrecen,Hungary
CRV,Crotone Airport,38.9972,17.0802,522,1.0,E,Crotone,Italy
BRI,Bari Karol Wojtyła Airport,41.138901,16.760599,177,1.0,E,Bari,Italy
FOG,"Foggia ""Gino Lisa"" Airport",41.432899,15.535,265,1.0,E,Foggia,Italy
TAR,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",40.517502,17.4032,215,1.0,E,Grottaglie,Italy
LCC,Lecce Galatina Air Base,40.239201,18.133301,156,1.0,E,Lecce,Italy
PSR,Pescara International Airport,42.431702,14.1811,48,1.0,E,Pescara,Italy
BDS,Brindisi – Salento Airport,40.6576,17.947001,47,1.0,E,Brindisi,Italy
SUF,Lamezia Terme Airport,38.905399,16.2423,39,1.0,E,Lamezia,Italy
CTA,Catania-Fontanarossa Airport,37.466801,15.0664,39,1.0,E,Catania,Italy
LMP,Lampedusa Airport,35.497898,12.6181,70,1.0,E,Lampedusa,Italy
PNL,Pantelleria Airport,36.816502,11.9689,628,1.0,E,Pantelleria,Italy
PMO,Falcone–Borsellino Airport,38.175999,13.091,65,1.0,E,Palermo,Italy
SEM,Craig Field,32.343898773193,-86.987800598145,166,-6.0,A,Selma,United States
REG,Reggio Calabria Airport,38.071201,15.6516,96,1.0,E,Reggio Calabria,Italy
TPS,Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488,25,1.0,E,Trapani,Italy
NSY,Sigonella Navy Air Base,37.401699,14.9224,79,1.0,E,Sigonella,Italy
AHO,Alghero-Fertilia Airport,40.632099,8.29077,87,1.0,E,Alghero,Italy
DCI,Decimomannu Air Base,39.354198,8.97248,100,1.0,E,Decimomannu,Italy
CAG,Cagliari Elmas Airport,39.251499,9.05428,13,1.0,E,Cagliari,Italy
OLB,Olbia Costa Smeralda Airport,40.898701,9.51763,37,1.0,E,Olbia,Italy
TTB,Tortolì Airport,39.9188,9.68298,23,1.0,E,Tortoli,Italy
MXP,Malpensa International Airport,45.6306,8.72811,768,1.0,E,Milano,Italy
BGY,Il Caravaggio International Airport,45.673901,9.70417,782,1.0,E,Bergamo,Italy
TRN,Turin Airport,45.200802,7.64963,989,1.0,E,Torino,Italy
ALL,Villanova D'Albenga International Airport,44.050598,8.12743,148,1.0,E,Albenga,Italy
GOA,Genoa Cristoforo Colombo Airport,44.4133,8.8375,13,1.0,E,Genoa,Italy
LIN,Milano Linate Airport,45.445099,9.27674,353,1.0,E,Milan,Italy
PMF,Parma Airport,44.824501,10.2964,161,1.0,E,Parma,Italy
CUF,Cuneo International Airport,44.547001,7.62322,1267,1.0,E,Cuneo,Italy
AVB,Aviano Air Base,46.031898,12.596503,410,1.0,E,Aviano,Italy
BZO,Bolzano Airport,46.460201,11.3264,789,1.0,E,Bolzano,Italy
BLQ,Bologna Guglielmo Marconi Airport,44.5354,11.2887,123,1.0,E,Bologna,Italy
TSF,Treviso-Sant'Angelo Airport,45.648399,12.1944,59,1.0,E,Treviso,Italy
FRL,Forlì Airport,44.194801,12.0701,97,1.0,E,Forli,Italy
VBS,Brescia Airport,45.428902,10.3306,355,1.0,E,Brescia,Italy
TRS,Trieste–Friuli Venezia Giulia Airport,45.827499,13.4722,39,1.0,E,Ronchi De Legionari,Italy
RMI,Federico Fellini International Airport,44.020302,12.6117,40,1.0,E,Rimini,Italy
VIC,Vicenza Airport,45.573399,11.5295,128,1.0,E,Vicenza,Italy
QPA,Padova Airport,45.395802,11.8479,44,1.0,E,Padova,Italy
VRN,Verona Villafranca Airport,45.395699,10.8885,239,1.0,E,Villafranca,Italy
VCE,Venice Marco Polo Airport,45.505299,12.3519,7,1.0,E,Venice,Italy
SAY,Siena-Ampugnano Airport,43.256302,11.255,634,1.0,E,Siena,Italy
CIA,Ciampino–G. B. Pastine International Airport,41.7994,12.5949,427,1.0,E,Rome,Italy
FCO,Leonardo da Vinci–Fiumicino Airport,41.8002778,12.2388889,13,1.0,E,Rome,Italy
EBA,Marina Di Campo Airport,42.7603,10.2394,31,1.0,E,Marina Di Campo,Italy
QLT,Latina Air Base,41.5424,12.909,94,1.0,E,Latina,Italy
NAP,Naples International Airport,40.886002,14.2908,294,1.0,E,Naples,Italy
PSA,Pisa International Airport,43.683899,10.3927,6,1.0,E,Pisa,Italy
FLR,Peretola Airport,43.810001,11.2051,142,1.0,E,Florence,Italy
GRS,Grosseto Air Base,42.759701,11.0719,17,1.0,E,Grosseto,Italy
PEG,Perugia San Francesco d'Assisi – Umbria International Airport,43.095901,12.5132,697,1.0,E,Perugia,Italy
LJU,Ljubljana Jože Pučnik Airport,46.223701,14.4576,1273,1.0,E,Ljubljana,Slovenia
MBX,Maribor Airport,46.47990036010742,15.686100006103516,876,1.0,E,Maribor,Slovenia
POW,Portoroz Airport,45.4734001159668,13.614999771118164,7,1.0,E,Portoroz,Slovenia
UHE,Kunovice Airport,49.02939987182617,17.439699172973633,581,1.0,E,Kunovice,Czech Republic
KLV,Karlovy Vary International Airport,50.20299911499024,12.914999961853027,1989,1.0,E,Karlovy Vary,Czech Republic
OSR,Ostrava Leos Janáček Airport,49.6963005065918,18.111099243164062,844,1.0,E,Ostrava,Czech Republic
PED,Pardubice Airport,50.01340103149414,15.73859977722168,741,1.0,E,Pardubice,Czech Republic
PRV,Přerov Air Base,49.42580032348633,17.404699325561523,676,1.0,E,Prerov,Czech Republic
PRG,Václav Havel Airport Prague,50.1008,14.26,1247,1.0,E,Prague,Czech Republic
BRQ,Brno-Tuřany Airport,49.15129852294922,16.694400787353516,778,1.0,E,Brno,Czech Republic
VOD,Vodochody Airport,50.216599,14.3958,919,1.0,E,Vodochody,Czech Republic
TLV,Ben Gurion International Airport,32.01139831542969,34.88669967651367,135,2.0,E,Tel-aviv,Israel
BEV,Beersheba (Teyman) Airport,31.287000656128,34.722999572754,656,2.0,E,Beer-sheba,Israel
ETH,Eilat Airport,29.56130027770996,34.96009826660156,42,2.0,E,Elat,Israel
EIY,Ein Yahav Airfield,30.621700286865234,35.20330047607422,-164,2.0,E,Eyn-yahav,Israel
HFA,Haifa International Airport,32.80939865112305,35.04309844970703,28,2.0,E,Haifa,Israel
RPN,Ben Ya'akov Airport,32.98099899291992,35.5718994140625,922,2.0,E,Rosh Pina,Israel
MTZ,Bar Yehuda Airfield,31.32819938659668,35.38859939575195,-1266,2.0,E,Metzada,Israel
VTM,Nevatim Air Base,31.2082996368,35.012298584,1330,2.0,E,Nevatim,Israel
VDA,Ovda International Airport,29.94029998779297,34.93579864501953,1492,2.0,E,Ovda,Israel
MIP,Ramon Air Base,30.776100158691406,34.66669845581055,2126,2.0,E,Ramon,Israel
SDV,Sde Dov Airport,32.11470031738281,34.78219985961914,43,2.0,E,Tel-aviv,Israel
MLA,Malta International Airport,35.857498,14.4775,300,1.0,E,Malta,Malta
GRZ,Graz Airport,46.9911003112793,15.439599990844728,1115,1.0,E,Graz,Austria
INN,Innsbruck Airport,47.260201,11.344,1907,1.0,E,Innsbruck,Austria
LNZ,Linz Hörsching Airport,48.2332,14.1875,980,1.0,E,Linz,Austria
SZG,Salzburg Airport,47.7933006287,13.0043001175,1411,1.0,E,Salzburg,Austria
VIE,Vienna International Airport,48.110298156738,16.569700241089,600,1.0,E,Vienna,Austria
AVR,Alverca Air Base,38.883301,-9.0301,11,0.0,E,Alverca,Portugal
SMA,Santa Maria Airport,36.97140121459961,-25.17060089111328,308,-1.0,E,Santa Maria (island),Portugal
BGC,Bragança Airport,41.8578,-6.70713,2241,0.0,E,Braganca,Portugal
BYJ,Beja Airport / Airbase,38.078899,-7.9324,636,0.0,E,Beja (madeira),Portugal
BGZ,Braga Municipal Aerodrome,41.5871009827,-8.445139884949999,247,0.0,E,Braga,Portugal
CAT,Cascais Airport,38.724998,-9.35523,325,0.0,E,Cascais,Portugal
FLW,Flores Airport,39.455299377441406,-31.13139915466309,112,-1.0,E,Flores,Portugal
FAO,Faro Airport,37.0144004822,-7.96590995789,24,0.0,E,Faro,Portugal
GRW,Graciosa Airport,39.09220123291016,-28.029800415039062,86,-1.0,E,Graciosa Island,Portugal
HOR,Horta Airport,38.519901275634766,-28.71590042114257,118,-1.0,E,Horta,Portugal
TER,Lajes Airport,38.761799,-27.090799,180,-1.0,E,Lajes (terceira Island),Portugal
QLR,Monte Real Air Base,39.828335,-8.8875,187,0.0,E,Monte Real,Portugal
PDL,João Paulo II Airport,37.7411994934,-25.6979007721,259,-1.0,E,Ponta Delgada,Portugal
PIX,Pico Airport,38.554298,-28.441299,109,-1.0,E,Pico,Portugal
PRM,Portimão Airport,37.1493,-8.58396,5,0.0,E,Portimao,Portugal
OPO,Francisco de Sá Carneiro Airport,41.2481002808,-8.68138980865,228,0.0,E,Porto,Portugal
PXO,Porto Santo Airport,33.0733985901,-16.3500003815,341,0.0,E,Porto Santo,Portugal
LIS,Humberto Delgado Airport (Lisbon Portela Airport),38.7813,-9.13592,374,0.0,E,Lisbon,Portugal
SJZ,São Jorge Airport,38.66550064086914,-28.175800323486328,311,-1.0,E,Sao Jorge Island,Portugal
VRL,Vila Real Airport,41.2743,-7.72047,1805,0.0,E,Vila Real,Portugal
VSE,Aerodromo Goncalves Lobato (Viseu Airport),40.725498,-7.88899,2060,0.0,E,Viseu,Portugal
OMO,Mostar International Airport,43.282901763916016,17.84589958190918,156,1.0,E,Mostar,Bosnia and Herzegovina
SJJ,Sarajevo International Airport,43.82460021972656,18.331499099731445,1708,1.0,E,Sarajevo,Bosnia and Herzegovina
ARW,Arad International Airport,46.17660140991211,21.261999130249023,352,2.0,E,Arad,Romania
BCM,Bacău Airport,46.52190017700195,26.91029930114746,607,2.0,E,Bacau,Romania
BAY,Tautii Magheraus Airport,47.65840148925781,23.46999931335449,605,2.0,E,Baia Mare,Romania
BBU,Băneasa International Airport,44.50320053100586,26.102100372314453,297,2.0,E,Bucharest,Romania
CND,Mihail Kogălniceanu International Airport,44.36220169067383,28.488300323486328,353,2.0,E,Constanta,Romania
CLJ,Cluj-Napoca International Airport,46.78519821166992,23.686199188232425,1036,2.0,E,Cluj-napoca,Romania
CSB,Caransebeş Airport,45.41999816894531,22.25329971313477,866,2.0,E,Caransebes,Romania
CRA,Craiova Airport,44.31809997558594,23.88859939575196,626,2.0,E,Craiova,Romania
IAS,Iaşi Airport,47.17850112915039,27.6205997467041,397,2.0,E,Iasi,Romania
OMR,Oradea International Airport,47.025299072265625,21.90250015258789,465,2.0,E,Oradea,Romania
OTP,Henri Coandă International Airport,44.5711111,26.085,314,2.0,E,Bucharest,Romania
SBZ,Sibiu International Airport,45.78559875488281,24.09129905700684,1496,2.0,E,Sibiu,Romania
SUJ,Satu Mare Airport,47.70330047607422,22.88570022583008,405,2.0,E,Satu Mare,Romania
SCV,Suceava Stefan cel Mare Airport,47.6875,26.35409927368164,1375,2.0,E,Suceava,Romania
TCE,Tulcea Airport,45.0625,28.71430015563965,200,2.0,E,Tulcea,Romania
TGM,Transilvania Târgu Mureş International Airport,46.46770095825195,24.412500381469727,963,2.0,E,Tirgu Mures,Romania
TSR,Timişoara Traian Vuia Airport,45.80989837646485,21.337900161743164,348,2.0,E,Timisoara,Romania
GVA,Geneva Cointrin International Airport,46.23809814453125,6.108950138092041,1411,1.0,E,Geneva,Switzerland
SIR,Sion Airport,46.2196006775,7.326759815220001,1585,1.0,E,Sion,Switzerland
EML,Emmen Air Base,47.092444,8.305184,1400,1.0,E,Emmen,Switzerland
LUG,Lugano Airport,46.00429916379999,8.9105796814,915,1.0,E,Lugano,Switzerland
BRN,Bern Belp Airport,46.914100647,7.497149944309999,1674,1.0,E,Bern,Switzerland
ZHI,Grenchen Airport,47.181599,7.41719,1411,1.0,E,Grenchen,Switzerland
ZRH,Zürich Airport,47.464699,8.54917,1416,1.0,E,Zurich,Switzerland
ACH,St Gallen Altenrhein Airport,47.4850006104,9.560770034789998,1306,1.0,E,Altenrhein,Switzerland
SMV,Samedan Airport,46.53409957885742,9.884110450744627,5600,1.0,E,Samedan,Switzerland
ESB,Esenboğa International Airport,40.1281013489,32.995098114,3125,3.0,E,Ankara,Turkey
ANK,Etimesgut Air Base,39.949798584,32.6885986328,2653,3.0,E,Ankara,Turkey
ADA,Adana Airport,36.9822006226,35.2803993225,65,3.0,E,Adana,Turkey
UAB,İncirlik Air Base,37.0021018982,35.4258995056,238,3.0,E,Adana,Turkey
AFY,Afyon Airport,38.726398468,30.6011009216,3310,3.0,E,Afyon,Turkey
AYT,Antalya International Airport,36.898701,30.800501,177,3.0,E,Antalya,Turkey
GZT,Gaziantep International Airport,36.9472007751,37.4786987305,2315,3.0,E,Gaziantep,Turkey
KYA,Konya Airport,37.979,32.561901,3392,3.0,E,Konya,Turkey
MZH,Amasya Merzifon Airport,40.829399,35.521999,1758,3.0,E,Merzifon,Turkey
VAS,Sivas Nuri Demirağ Airport,39.813801,36.9035,5239,3.0,E,Sivas,Turkey
MLX,Malatya Erhaç Airport,38.4352989197,38.0909996033,2828,3.0,E,Malatya,Turkey
ASR,Kayseri Erkilet Airport,38.770401001,35.4953994751,3463,3.0,E,Kayseri,Turkey
TJK,Tokat Airport,40.307430267333984,36.367408752441406,1831,3.0,E,Tokat,Turkey
DNZ,Çardak Airport,37.7855987549,29.7012996674,2795,3.0,E,Denizli,Turkey
ISL,Atatürk International Airport,40.976898,28.8146,163,3.0,E,Istanbul,Turkey
BZI,Balıkesir Merkez Airport,39.61930084228516,27.926000595092773,340,3.0,E,Balikesir,Turkey
BDM,Bandırma Airport,40.31800079345703,27.97769927978516,170,3.0,E,Bandirma,Turkey
ESK,Eskişehir Air Base,39.7840995789,30.5820999146,2581,3.0,E,Eskisehir,Turkey
ADB,Adnan Menderes International Airport,38.2924003601,27.156999588,412,3.0,E,Izmir,Turkey
IGL,Çiğli Airport,38.5130004883,27.010099411,16,3.0,E,Izmir,Turkey
KCO,Cengiz Topel Airport,40.73500061035156,30.08329963684082,182,3.0,E,Topel,Turkey
DLM,Dalaman International Airport,36.7131004333,28.7924995422,20,3.0,E,Dalaman,Turkey
BXN,Imsık Airport,37.140098571777344,27.6697006225586,202,3.0,E,Bodrum,Turkey
EZS,Elazığ Airport,38.6068992615,39.2914009094,2927,3.0,E,Elazig,Turkey
DIY,Diyarbakir Airport,37.893901825,40.2010002136,2251,3.0,E,Diyabakir,Turkey
ERC,Erzincan Airport,39.7102012634,39.5270004272,3783,3.0,E,Erzincan,Turkey
ERZ,Erzurum International Airport,39.9565010071,41.17020034789999,5763,3.0,E,Erzurum,Turkey
TZX,Trabzon International Airport,40.99509811401367,39.78969955444336,104,3.0,E,Trabzon,Turkey
VAN,Van Ferit Melen Airport,38.46820068359375,43.332298278808594,5480,3.0,E,Van,Turkey
BAL,Batman Airport,37.9290008545,41.1166000366,1822,3.0,E,Batman,Turkey
SXZ,Siirt Airport,37.97890090942383,41.84040069580078,2001,3.0,E,Siirt,Turkey
BZY,Bălți International Airport,47.843056,27.777222,758,2.0,E,Saltsy,Moldova
KIV,Chişinău International Airport,46.92770004272461,28.93099975585937,399,2.0,E,Chisinau,Moldova
OHD,Ohrid St. Paul the Apostle Airport,41.18,20.7423,2313,1.0,E,Ohrid,Macedonia
